locale|uk_UA

SYSTEM_RODS_1|1 паливний стрижень SO6

SYSTEM_RODS_1_DESC|TЦей ядерний паливний стрижень Rusatom-Antonoff SO6, зазвичай званий "сонячним променем", є стандартним паливом для ранніх міжпланетних НТР-дизайнів. SO6 використовує рідкий торієвий сердечник, укладений у тверду оболонку. Напруження і склад забезпечують надзвичайно високі робочі температури. \n\nІдеальний подарунок для майбутнього капітана корабля. Свинцевий обгортковий матеріал у різноманітних дизайнах та кольорах доступний за запитом.

SYSTEM_RODS_1_SPECS|Виробник: Rusatom-Antonoff \nРобоча температура: 3,500 K \nТочка відмови: 4,500 K \nМаса: 400 кг \nТепловіддача: 1 GW

SYSTEM_AUX_SMES_10K|Банк конденсаторів OPS-10

SYSTEM_AUX_SMES_10K_DESC|Резервне джерело живлення від Obonto Microengineering є, хоч і неелегантним, але надзвичайно ефективним рішенням. Фактично це кілька надвеликих ультраконденсаторів у сталевому корпусі. OPS-10 може забезпечувати феноменальну вихідну потужність при пікових навантаженнях, залишаючись при цьому настільки ж доступним, як і їхній стандартний асортимент ультраконденсаторів. \n\nЧерез те, що він не підключений до внутрішніх систем охолодження, OPS-10 покладається на повільну швидкість зарядки та громіздкий радіаційний охолоджувач для управління температурою.

SYSTEM_AUX_SMES_10K_SPECS|Ємність: 10,000 MJ \nЕнергоспоживання: 50 MW \nВихідна потужніть (пікова): 10,000 MW \nМаса: 6,500 kg \nТип: Масив високощільних графенових фрактальних ультраконденсаторів \nВиробник: Obonto MicroengineeringSYSTEM_AUX_MPD_1400|OPG-14 StatPlasma

SYSTEM_AUX_MPD_1400_DESC|Екстремальні вимоги до потужності, такі як промислові печі на переробних заводах, вимагають екстремальних рішень, і саме таким рішенням є StatPlasma від Obonto Microengineering. Ентузіасти та інженери-електрики (хоча різниця між ними невелика) називають її "шишкою" через її незвичайну гвинтову камеру перетворення, яка звужується до виходу рекуперації. \n\nПримітка: цей пристрій може потребувати невеликого періоду прогріву перед досягненням повної потужності.

SYSTEM_AUX_MPD_1400_SPECS|Енергоспоживання : 200 MW \nТеплоспоживання: 2.5 GW \nПотужність (номінальна): 1,400 MW \nЧас прогріву: 5 с \nМаса: 12,250 kg \nТип: MPDG \nВиробник: Obonto Microengineering

SYSTEM_AUX_MPD_2000|MPDG обласного класу MPI

SYSTEM_AUX_MPD_2000_DESC|Цей жахливий MPDG-монстр буквально не може поміститися в корпусі більшості суден, тому його доводиться монтувати зовні і підключати через кілька живильних ліній. Це найкраща електростанція для великих поселень на Марсі та за його межами. Ця установка потребує значного періоду прогрівання перед досягненням максимальної потужності. MPI наполегливо рекомендує не видаляти жодні символи, гравіюри або інші маркування з установки.

